,values
GO:0048523,1.6662967
GO:0048522,1.3494318
GO:0051240,1.0483354
GO:1901654,1.0415893
GO:1901701,0.7405901
GO:0097305,0.573409
GO:0051091,0.49861646
GO:0010038,0.45168164
GO:0032496,0.4205564
GO:0045595,0.41993263
GO:0033993,0.40688193
GO:0060627,0.39487585
GO:0010941,0.36832476
GO:0030155,0.33535925
GO:0051726,0.3314876
GO:0051094,0.31099662
GO:0051241,0.30997005
GO:2000026,0.28921008
GO:0051099,0.26239336
GO:2000145,0.25551292
GO:0033273,0.24333796
GO:0002684,0.23711266
GO:0023056,0.20578241
GO:0051128,0.20529838
GO:0051093,0.20210043
GO:0071310,0.17060398
GO:0043331,0.16342297
GO:0048584,0.15256909
GO:1900117,0.14972244
GO:0051050,0.13615896
GO:2000242,0.13075945
GO:0048585,0.13045886
GO:0034444,0.12726901
GO:0071219,0.118280016
GO:0032526,0.11653532
GO:0045926,0.112769246
GO:0051302,0.10394516
GO:0048878,0.09810304
GO:0060341,0.083986014
GO:0050773,0.08347631
GO:0030278,0.078365155
GO:1903530,0.076499924
GO:0032878,0.070349045
GO:2000036,0.06749264
GO:0060405,0.066415586
GO:1905954,0.06349859
GO:0060768,0.06326567
GO:0001817,0.054985523
GO:0043433,0.05335342
GO:0099601,0.051142782
GO:0023057,0.050748695
GO:0071731,0.05070413
GO:0048634,0.049929723
GO:0042749,0.048716947
GO:0051591,0.04836237
GO:0048524,0.0482869
GO:0071241,0.043178007
GO:0043393,0.042081196
GO:0060078,0.03995247
GO:0000302,0.03982523
GO:0006974,0.03760094
GO:0060300,0.036825642
GO:0035561,0.03661969
GO:0031102,0.035796482
GO:0033194,0.034598153
GO:0110150,0.033964325
GO:0048545,0.032781478
GO:0032847,0.031347778
GO:0090183,0.03127388
GO:0040014,0.030391619
GO:0042634,0.027756982
GO:0051899,0.027494892
GO:1901617,0.027286563
GO:0061088,0.027108394
GO:0043434,0.026190847
GO:0002685,0.025722798
GO:0043200,0.025310764
GO:0010632,0.024502985
GO:0075294,0.024394598
GO:0031098,0.023973184
GO:0010460,0.02299056
GO:1900221,0.021772385
GO:0043086,0.021444893
GO:2000243,0.021257801
GO:0022603,0.02098108
GO:0009892,0.019690085
GO:1900048,0.019205192
GO:2000273,0.018421419
GO:0042127,0.017613225
GO:0001508,0.017461985
GO:0098815,0.016763514
GO:0061183,0.016529752
GO:0090128,0.01641038
GO:0071869,0.016137598
GO:1900154,0.01609002
GO:2000742,0.015068444
GO:2000272,0.014679309
GO:1903900,0.0145219015
GO:0014070,0.012221782
GO:0015980,0.0120477015
GO:0007176,0.011857842
GO:0007269,0.011846334
GO:0035490,0.011275871
GO:0090287,0.011147974
GO:0008206,0.011028117
GO:0071503,0.010856734
GO:1905953,0.01062822
GO:0033341,0.01050175
GO:0040013,0.010316141
GO:0032355,0.010222883
GO:0046620,0.010216223
GO:0031641,0.010118328
GO:0071417,0.008255753
GO:0031341,0.008137999
GO:0051051,0.008069645
GO:0009894,0.0076529826
GO:0034103,0.0071981465
GO:0002460,0.006972317
GO:0009100,0.0068595624
GO:1903593,0.0067912694
GO:0048525,0.00659588
GO:0033198,0.0065691117
GO:1901861,0.0060738977
GO:0051339,0.0060393545
GO:0006796,0.0060271802
GO:0016054,0.005984363
GO:0060278,0.005904101
GO:0070167,0.0057107336
GO:0002697,0.0055083204
GO:1901699,0.0054794825
GO:0031652,0.004865714
GO:0043085,0.004772062
GO:0031620,0.0045491233
GO:0006665,0.0044454955
GO:0030204,0.004311463
GO:0010883,0.0041961474
GO:0016042,0.004111903
GO:0048562,0.003996905
GO:1903416,0.0039673625
GO:1990090,0.003966152
GO:0032801,0.0037884284
GO:0009966,0.0037281197
GO:0034694,0.0036600365
GO:0007589,0.003659796
GO:0040034,0.003612514
GO:2001302,0.0034773657
GO:0045760,0.0034691487
GO:0099177,0.00335682
GO:0060359,0.0033506434
GO:1901137,0.0030137808
GO:2000290,0.0029305208
GO:0044265,0.0028672675
GO:1900193,0.0027862454
GO:0033280,0.0027225069
GO:0070255,0.0027142626
GO:0034976,0.0026850216
GO:0042220,0.0026110243
GO:1904014,0.0022796872
GO:0090325,0.0022354713
GO:0006954,0.0022125565
GO:0002831,0.0021507558
GO:1904181,0.0021195363
GO:1902075,0.0020976658
GO:0051338,0.0019929141
GO:2000380,0.0019438488
GO:0019369,0.0019436934
GO:0048754,0.001865449
GO:0060685,0.0015817754
GO:0031279,0.0015175827
GO:0009262,0.0015137411
GO:0072710,0.001466178
GO:0009416,0.0014539242
GO:1901993,0.0013933755
GO:0009059,0.0012880792
GO:0043488,0.0010741687
GO:0060759,0.0009246951
GO:0046928,0.0009169207
GO:0034599,0.0008199572
GO:0032535,0.00079294876
GO:0042182,0.0007708958
GO:0048678,0.00075069035
GO:0098828,0.00071382336
GO:0030193,0.0007108658
GO:0001919,0.0006788674
GO:0061091,0.00066862645
GO:0062149,0.00065072504
GO:0010046,0.00065011607
GO:0046469,0.00064215634
GO:0080135,0.0005972267
GO:0098901,0.0005199646
GO:0010212,0.0005068806
GO:0090407,0.0004841852
GO:0070570,0.00047352238
GO:0043489,0.0004282266
GO:0036296,0.0004093594
GO:0052372,0.00040695723
GO:1903779,0.00040123364
GO:0050779,0.000379522
GO:0006767,0.00037875064
GO:0002064,0.00035630964
GO:0097237,0.00035387024
GO:0035809,0.00034783143
GO:0048705,0.00033298857
GO:0046902,0.00032385346
GO:0009914,0.00032258383
GO:0002905,0.00031017058
GO:0008202,0.0002955167
GO:0050832,0.00029247158
GO:0032781,0.00028361368
GO:0071243,0.0002790326
GO:0021782,0.00026806167
GO:1902652,0.00025299753
GO:0002009,0.00025099146
GO:0090107,0.00024759799
GO:0098969,0.00024039007
GO:0019730,0.00023696444
GO:0044321,0.0002369209
GO:0072175,0.00023445395
GO:0034654,0.00023120901
GO:0061356,0.00022962144
GO:0009311,0.00022006483
GO:0001504,0.00021737209
GO:0032350,0.00021371663
GO:0072132,0.00021257758
GO:0061552,0.00020659338
GO:0034308,0.00020545407
GO:0034616,0.00020270617
GO:1904008,0.00019536055
GO:1904412,0.00019197946
GO:1901361,0.00018207493
GO:0062173,0.00017907486
GO:0042726,0.00017561477
GO:0003181,0.00017368297
GO:0043502,0.00016880245
GO:0010712,0.00016780947
GO:0110112,0.00016665463
