,values
GO:0099099,0.0
GO:0016682,0.0
GO:0016625,0.0
GO:0016655,0.0
GO:0043130,0.0
GO:0015577,0.0
GO:0042296,0.0
GO:0016743,0.0
GO:0009009,0.0
GO:0016635,0.0
GO:0030284,0.0
GO:0008920,0.0
GO:0015226,0.0
GO:0031320,0.0
GO:0015399,0.0
GO:0071936,0.0
GO:0016657,0.0
GO:0044389,0.0
GO:0000104,0.0
GO:0016634,0.0
GO:0050497,0.0
GO:0052882,0.0
GO:0140707,0.0
GO:0045703,0.0
GO:0016802,0.0
GO:0016838,0.0
GO:0016168,0.0
GO:0036041,0.0
GO:0010857,0.0
GO:1904680,0.0
GO:0052890,0.0
GO:0004984,0.0
GO:0016867,0.0
GO:0032546,0.0
GO:0019196,0.0
GO:0043120,0.0
GO:0140789,0.0
GO:0016274,0.0
GO:0015554,0.0
GO:0016774,0.0
GO:0015572,0.0
GO:0016814,0.0
GO:0016856,0.0
GO:0004407,0.0
GO:0010178,0.0
GO:0030597,0.0
GO:0019181,0.0
GO:0033694,0.0
GO:0052877,0.0
GO:0017076,0.0
GO:0046997,0.0
GO:0051119,0.0
GO:0015575,0.0
GO:0008079,0.0
GO:0071667,0.0
GO:0016664,0.0
GO:0071568,0.0
GO:0042294,0.0
GO:0042923,0.0
GO:0016703,0.0
GO:0001873,0.0
GO:0004509,0.0
GO:0015234,0.0
GO:0022885,0.0
GO:0099107,0.0
GO:0015489,0.0
GO:0015530,0.0
GO:0005368,0.0
GO:0019763,0.0
GO:0046583,0.0
GO:0019788,0.0
GO:0015129,0.0
GO:0009008,0.0
GO:0035325,0.0
GO:0051003,0.0
GO:0015576,0.0
GO:0016652,0.0
GO:0008521,0.0
GO:0070818,0.0
GO:0015200,0.0
GO:0033284,0.0
GO:0030695,0.0
GO:0016663,0.0
GO:0047225,0.0
GO:0120016,0.0
GO:0005338,0.0
GO:0018169,0.0
GO:0009883,0.0
GO:0016622,0.0
GO:0016696,0.0
GO:0015417,0.0
GO:0046994,0.0
GO:0046993,0.0
GO:0001883,0.0
GO:0048031,0.0
GO:0046995,0.0
GO:0016882,0.0
GO:0030551,0.0
GO:0071917,0.0
GO:0140807,0.0
GO:0033612,0.0
GO:0015164,0.0
GO:0010297,0.0
GO:0043783,0.0
GO:0019975,0.0
GO:0004883,0.0
GO:0016732,0.0
GO:0031593,0.0
GO:0016781,0.0
GO:0003913,0.0
GO:0016842,0.0
GO:0008504,0.0
GO:0022835,0.0
GO:0044388,0.0
GO:0019120,0.0
GO:0015157,0.0
GO:0003954,0.0
GO:0015136,0.0
GO:0008410,0.0
GO:0005308,0.0
GO:0004738,0.0
GO:0000099,0.0
GO:0016680,0.0
GO:0016673,0.0
GO:0030250,0.0
GO:0052738,0.0
GO:0097747,0.0
GO:0015647,0.0
GO:0015240,0.0
GO:0005290,0.0
GO:0140721,0.0
GO:0005501,0.0
GO:0008401,0.0
GO:0019775,0.0
GO:0016731,0.0
GO:0008940,0.0
GO:0016727,0.0
GO:0016640,0.0
GO:0019777,0.0
GO:0016869,0.0
GO:0015182,0.0
GO:0052880,0.0
GO:0050499,0.0
GO:0019104,0.0
GO:0016697,0.0
GO:0070063,0.0
GO:0048028,0.0
GO:0045119,0.0
GO:0019900,0.0
GO:0050498,0.0
GO:0052592,0.0
GO:0032394,0.0
GO:0016738,0.0
GO:0015244,0.0
GO:0015199,0.0
GO:0016843,0.0
GO:0140805,0.0
GO:0099104,0.0
GO:0016632,0.0
GO:0016648,0.0
GO:0071771,0.0
GO:0106413,0.0
GO:0001884,0.0
GO:0160002,0.0
GO:0008192,0.0
GO:0008553,0.0
GO:0031545,0.0
GO:0004659,0.0
GO:0015551,0.0
GO:0015440,0.0
GO:0015930,0.0
GO:0070643,-1.1882602e-11
GO:0008395,-2.5832186e-10
GO:0035594,-4.823058e-10
GO:0001067,-2.0037207e-09
GO:0008242,-2.6912144e-09
GO:0098960,-9.633144e-09
GO:0008509,-9.77499e-09
GO:0005315,-1.08755875e-08
GO:0032934,-1.1739015e-08
GO:0016597,-1.622071e-08
GO:0016918,-1.629546e-08
GO:0019841,-2.5429628e-08
GO:0042947,-2.8261011e-08
GO:0070576,-2.9375487e-08
GO:0031406,-5.6153294e-08
GO:0071813,-1.5531036e-07
GO:0008554,-2.0763612e-07
GO:0019798,-2.3155496e-07
GO:0016799,-2.7580415e-07
GO:0016884,-5.252685e-07
GO:0032452,-6.3881123e-07
GO:0062179,-1.2530975e-06
GO:0016713,-1.3615589e-06
GO:0016668,-1.8135167e-06
GO:0140101,-2.185728e-06
GO:0016775,-2.5261693e-06
GO:0017081,-3.9015467e-06
GO:0015247,-5.865432e-06
GO:0120250,-6.245238e-06
GO:0016717,-1.8787838e-05
GO:0005345,-1.9169065e-05
GO:0015291,-2.2124897e-05
