,values
GO:0050794,3.2836244
GO:0048518,2.2618237
GO:1901700,2.0885603
GO:0048519,1.4894444
GO:0010033,1.1061734
GO:0051239,0.9574647
GO:0050793,0.6267304
GO:0010035,0.47569552
GO:0070887,0.4042805
GO:0044093,0.4026583
GO:0051090,0.26150098
GO:0007584,0.24349417
GO:0051098,0.20760426
GO:1901698,0.17985706
GO:0002682,0.15012461
GO:0071216,0.11836643
GO:0010469,0.116430745
GO:0042592,0.09709728
GO:0042391,0.08265945
GO:2000241,0.076872624
GO:0040012,0.075203694
GO:0009725,0.06186876
GO:0042752,0.046263166
GO:0050792,0.043275137
GO:0044092,0.038033195
GO:0048583,0.026879776
GO:0050790,0.026223812
GO:1901615,0.025357775
GO:0002027,0.022996483
GO:0110149,0.014842482
GO:0023051,0.013482276
GO:0001505,0.012980085
GO:0006091,0.011934661
GO:0031650,0.009414764
GO:0032879,0.009365711
GO:1901135,0.009330733
GO:0071495,0.009246728
GO:0044248,0.008810021
GO:0002250,0.0069726496
GO:0006979,0.006505101
GO:0006793,0.005977332
GO:0050878,0.0052350727
GO:0009887,0.0032384375
GO:1990089,0.0029869773
GO:0006952,0.00221254
GO:0009314,0.0019539471
GO:1900046,0.0019516486
GO:0120254,0.0019435707
GO:0035239,0.0019090795
GO:0043487,0.0018821044
GO:0048598,0.0013963878
GO:0046483,0.0011146447
GO:1901575,0.0010251902
GO:0098900,0.00097216555
GO:0044260,0.0007991707
GO:0090066,0.00079314754
GO:0009611,0.00075071957
GO:0050906,0.00069329666
GO:0097035,0.0006814434
GO:0048468,0.00066771527
GO:0070482,0.0005206388
GO:0043170,0.00051491754
GO:1902074,0.0004688062
GO:0032409,0.0004305954
GO:0043903,0.00040653042
GO:0006766,0.00037876534
GO:0019538,0.00036431526
GO:0006066,0.00034828784
GO:0009620,0.00032449135
GO:0090559,0.00032225956
GO:0006725,0.00027055308
GO:0034405,0.00024418396
GO:0035148,0.00024380189
GO:0099072,0.00023643489
GO:0006139,0.00022745883
GO:0006959,0.00019411626
GO:0048729,0.00019116075
GO:0003179,0.0001736839
GO:0046677,0.00016991074
GO:1901360,0.0001692664
GO:0060411,0.0001627091
GO:0055086,0.00014623602
GO:0097164,0.00013821828
GO:0006629,0.00010366655
GO:1990840,9.971995e-05
GO:0001708,9.452026e-05
GO:0009582,8.367417e-05
GO:0046148,8.170575e-05
GO:0006582,6.394258e-05
GO:0046685,5.9771173e-05
GO:0044282,5.118215e-05
GO:0031099,4.3574215e-05
GO:0009698,1.7671742e-05
GO:0001101,1.7020662e-05
GO:0098542,1.5653703e-05
GO:0060788,1.4096697e-05
GO:0035295,1.289988e-05
GO:0009593,1.1198951e-05
GO:0061138,7.759873e-06
GO:0048608,6.190862e-06
GO:0072593,5.4588763e-06
GO:0014889,5.141974e-06
GO:0061383,4.596534e-06
GO:0009404,4.135043e-06
GO:0097120,3.9485585e-06
GO:0035107,3.511145e-06
GO:0003207,2.8659952e-06
GO:0046907,2.7084307e-06
GO:0045123,2.6817793e-06
GO:0006520,2.4002447e-06
GO:0048859,1.5974343e-06
GO:0001525,1.2048152e-06
GO:0035556,1.1609321e-06
GO:0006805,9.599748e-07
GO:0009617,7.356097e-07
GO:0006935,7.310842e-07
GO:0090398,5.220701e-07
GO:0048513,3.966756e-07
GO:0001704,3.3708417e-07
GO:0070727,3.2442483e-07
GO:0021675,2.400351e-07
GO:0007611,2.3567353e-07
GO:0002568,2.1116328e-07
GO:0006403,1.8967395e-07
GO:0051702,1.8086658e-07
GO:0097502,1.7496681e-07
GO:0009888,1.5926331e-07
GO:0003014,1.3556274e-07
GO:0070192,9.7105605e-08
GO:0030036,8.7510365e-08
GO:0016477,8.0609965e-08
GO:0005996,7.747589e-08
GO:0002764,6.713794e-08
GO:0009268,5.5262888e-08
GO:1903825,4.8398352e-08
GO:0045165,4.6678334e-08
GO:0003002,4.625584e-08
GO:0061061,1.9907276e-08
GO:0007062,1.9561277e-08
GO:0099536,1.5618859e-08
GO:0003012,1.5583538e-08
GO:0061004,1.3328297e-08
GO:0010927,1.27454935e-08
GO:0032098,1.0777787e-08
GO:0022600,8.167721e-09
GO:0061982,7.826122e-09
GO:0007164,7.761707e-09
GO:0030154,7.0572224e-09
GO:0061245,6.0699565e-09
GO:0097190,5.0683218e-09
GO:0120252,4.112785e-09
GO:0003170,3.683393e-09
GO:0043413,3.6460355e-09
GO:0050877,3.1997716e-09
GO:0035738,3.109423e-09
GO:0055082,3.0626321e-09
GO:0044085,2.7751872e-09
GO:0007018,2.7429765e-09
GO:0007617,1.3749937e-09
GO:0002475,1.3181073e-09
GO:0007588,1.2671261e-09
GO:0050000,1.1952465e-09
GO:0001568,1.1775646e-09
GO:0030048,1.1759965e-09
GO:0006413,1.0454977e-09
GO:0045104,1.0276072e-09
GO:1902298,8.731149e-10
GO:0002269,6.2815997e-10
GO:0050891,6.1643296e-10
GO:0051653,5.774166e-10
GO:0051647,3.3579084e-10
GO:0051648,3.3308423e-10
GO:0009798,2.2797343e-10
GO:0070661,1.4505758e-10
GO:0051701,1.0754522e-10
GO:0007210,8.656671e-11
GO:0035672,6.6110326e-11
GO:0060896,4.5043597e-11
GO:0044107,4.3678557e-11
GO:0009790,4.0628324e-11
GO:0012501,2.2669516e-11
GO:0070997,2.181074e-11
GO:0042078,6.9476903e-12
GO:0002218,4.8048475e-12
GO:0002260,9.18723e-13
GO:1900619,2.385065e-13
GO:0006914,2.327623e-13
GO:0048857,7.256082e-16
GO:0002517,0.0
GO:0090598,0.0
GO:0044003,0.0
GO:0002249,0.0
GO:0033566,0.0
GO:0052173,0.0
GO:0002263,0.0
GO:0048736,0.0
GO:0070989,0.0
GO:0044616,0.0
GO:0071921,0.0
GO:0009850,0.0
GO:0002566,0.0
GO:0042168,0.0
GO:0099637,0.0
GO:0048438,0.0
GO:1900555,0.0
GO:0010191,0.0
GO:0071829,0.0
GO:0019695,0.0
GO:0061351,0.0
GO:0042341,0.0
GO:2000689,0.0
GO:0035112,0.0
GO:0120247,0.0
GO:0042316,0.0
GO:0098630,0.0
GO:0044364,0.0
GO:0072531,0.0
GO:0030952,0.0
GO:0002514,0.0
GO:0010522,0.0
GO:0000910,0.0
GO:0035836,0.0
GO:0098725,0.0
GO:0002164,0.0
GO:0044501,0.0
GO:0075509,0.0
GO:0048833,0.0
GO:0046500,0.0
GO:0051552,0.0
GO:0046292,0.0
GO:0046950,0.0
GO:0042118,0.0
GO:0051316,0.0
GO:0002418,0.0
GO:0045136,0.0
GO:0044645,0.0
GO:0046158,0.0
GO:0009826,0.0
GO:0010036,0.0
GO:0060184,0.0
GO:0017001,0.0
GO:0072089,0.0
GO:0030638,0.0
GO:0031129,0.0
GO:0006482,0.0
GO:0032187,0.0
GO:0071669,0.0
GO:0140274,0.0
GO:0002565,0.0
GO:0036072,0.0
GO:0030653,0.0
GO:0001659,0.0
GO:0060004,0.0
GO:0051644,0.0
GO:0120255,0.0
GO:0017000,0.0
GO:0015977,0.0
GO:0044553,0.0
GO:0051481,0.0
GO:0039516,0.0
GO:0051325,0.0
GO:0140115,0.0
GO:0099135,0.0
GO:0009409,0.0
GO:0030436,0.0
GO:0097094,0.0
GO:0043446,0.0
GO:0140353,0.0
GO:0120256,0.0
GO:0002387,0.0
GO:0009414,0.0
GO:0075136,0.0
GO:0044537,0.0
GO:0007309,0.0
GO:0036473,0.0
GO:0033313,0.0
GO:0099118,0.0
GO:0035806,0.0
GO:0098961,0.0
GO:0071555,0.0
GO:0060638,0.0
GO:0009629,0.0
GO:0030537,0.0
GO:0008356,0.0
GO:0009991,0.0
GO:0071852,0.0
GO:0019073,0.0
GO:0002026,0.0
GO:0001539,0.0
GO:0070631,0.0
GO:0099402,0.0
GO:0071963,0.0
GO:0001887,0.0
GO:0140056,0.0
GO:0042446,0.0
GO:0120305,0.0
GO:0043207,0.0
GO:0007635,0.0
GO:0046283,0.0
GO:0002461,0.0
GO:0034086,0.0
GO:0044182,0.0
GO:0044359,0.0
GO:0045087,0.0
GO:0090696,0.0
GO:0042335,0.0
GO:0072003,0.0
GO:0051657,0.0
GO:0031137,0.0
GO:0000768,0.0
GO:0090698,0.0
GO:0009606,0.0
GO:1901440,0.0
GO:0006984,0.0
GO:0034408,0.0
GO:0048266,0.0
GO:0018904,0.0
GO:0075733,0.0
GO:0120248,0.0
GO:0002270,0.0
GO:0009886,0.0
GO:0061339,0.0
GO:0002251,0.0
GO:0046149,0.0
GO:0043697,0.0
GO:0042447,0.0
GO:0072006,0.0
GO:1902047,0.0
GO:0009415,0.0
GO:0001909,0.0
GO:0035152,0.0
GO:0000278,0.0
GO:0019054,0.0
GO:0034090,0.0
GO:0009237,0.0
GO:0002437,0.0
GO:0035019,0.0
GO:0140013,0.0
GO:0048645,0.0
GO:0009615,0.0
GO:0072338,0.0
