,values
GO:0071222,0.9859688
GO:0045786,0.8799067
GO:0010942,0.7796108
GO:0032570,0.7772513
GO:0045596,0.72776717
GO:0045785,0.7077543
GO:0030308,0.6352578
GO:0033574,0.6120943
GO:0060770,0.6073667
GO:0034445,0.48043045
GO:0033189,0.44354674
GO:0045778,0.44259638
GO:2001022,0.4114323
GO:0017157,0.41098052
GO:0060407,0.40847698
GO:0060548,0.40320453
GO:0045471,0.4020187
GO:0030856,0.37148887
GO:0071300,0.36641628
GO:0051092,0.33329305
GO:1902459,0.3210902
GO:0006995,0.28229308
GO:0071320,0.2688739
GO:0061090,0.26141384
GO:0010043,0.24726023
GO:0071732,0.24678707
GO:0051412,0.22984856
GO:0051781,0.22235063
GO:0007162,0.219769
GO:0045667,0.21427411
GO:0033601,0.21165928
GO:0051782,0.21118757
GO:0010039,0.19718015
GO:1900078,0.18391472
GO:0030334,0.1790905
GO:0009968,0.17506054
GO:0007346,0.17157291
GO:0001819,0.16737531
GO:0071407,0.16503386
GO:0043330,0.16301109
GO:0090190,0.16176614
GO:0060279,0.16175924
GO:0032793,0.1585215
GO:0045932,0.1560498
GO:2000146,0.15135257
GO:0010719,0.15060137
GO:1900118,0.14933577
GO:0030516,0.14914943
GO:0050806,0.14870504
GO:0060280,0.14665847
GO:0060420,0.1406897
GO:0045907,0.13897365
GO:0070256,0.13848747
GO:0035563,0.1374648
GO:2000344,0.13513245
GO:0002687,0.13511953
GO:0010718,0.13397464
GO:1903573,0.1327846
GO:0006982,0.12999874
GO:0090129,0.12464673
GO:0050801,0.124115944
GO:1900155,0.12217363
GO:0045597,0.121337324
GO:0045618,0.12084722
GO:0050778,0.119939394
GO:0050807,0.11931918
GO:0070168,0.11789281
GO:0030100,0.116157174
GO:0048814,0.10571201
GO:0003308,0.102014065
GO:0071345,0.10023442
GO:1903403,0.09996512
GO:0051592,0.09732145
GO:0070257,0.09678509
GO:2000744,0.08924574
GO:1901653,0.087717466
GO:0050766,0.08693501
GO:0031943,0.08230062
GO:0060520,0.08158738
GO:0032849,0.08145311
GO:0022407,0.080988415
GO:0032880,0.07746503
GO:1901165,0.0742896
GO:0043388,0.07419181
GO:0060354,0.07401892
GO:0035814,0.0739319
GO:0034695,0.07216798
GO:2000114,0.07014835
GO:1901888,0.0695224
GO:1903010,0.06940646
GO:0010884,0.0678253
GO:0016202,0.06671148
GO:0010634,0.06623144
GO:0033343,0.061472874
GO:0010902,0.059612524
GO:1903595,0.059581336
GO:0043270,0.059250135
GO:1901492,0.058617357
GO:1903531,0.05857309
GO:1903902,0.05779209
GO:2000597,0.05482745
GO:0060355,0.05467076
GO:0046533,0.05393236
GO:1903496,0.053881638
GO:0032088,0.053262766
GO:0051798,0.045912385
GO:2000078,0.045898452
GO:0031645,0.04413241
GO:2001212,0.043482278
GO:0040018,0.042547576
GO:0034614,0.04171187
GO:0032092,0.04139999
GO:1905492,0.040710475
GO:0030510,0.039020557
GO:2001135,0.038441718
GO:2000147,0.03803496
GO:1900223,0.037824176
GO:0008630,0.037691638
GO:0060302,0.036792573
GO:0031103,0.03649278
GO:0090189,0.03256815
GO:0045187,0.031670008
GO:2000035,0.03131674
GO:0043467,0.031121949
GO:0071314,0.029757535
GO:0046621,0.029272415
GO:1904672,0.029167727
GO:0071392,0.029056909
GO:2000311,0.028864853
GO:0048505,0.028453616
GO:0032388,0.02840154
GO:0045995,0.028044283
GO:0060901,0.027721442
GO:0060079,0.027711125
GO:0045992,0.026985405
GO:0086010,0.026229542
GO:0031642,0.02594423
GO:1904640,0.025806738
