,values
MADCAM1_meth,0.04133539
CA3_meth,0.13121246
DUSP9_meth,0.14064132
PORCN_meth,5.2686428e-05
DMRT2_meth,-0.007679709
DMRT3_meth,1.11471525e-08
RNASE3_meth,0.006459732
RERG_meth,0.039174374
PRSS37_meth,-0.11550735
GABRG2_meth,0.0014698692
B4GALNT2_meth,-0.00779674
ARHGDIB_meth,-0.34245828
IFI27_meth,-0.06460378
PRKG2_meth,-0.00013568669
ADRA1D_meth,0.039571412
SLC7A14_meth,4.120714e-06
GFRAL_meth,0.007115356
TMEM30B_meth,3.5388975e-06
TBR1_meth,-0.0007365133
TBX5_meth,0.02041524
DYNLT3_meth,0.03605945
LEP_meth,0.44208932
TRH_meth,-0.013369376
CDO1_meth,-0.14014693
CD40_meth,0.26564127
DEFB118_meth,1.46446655e-05
TCL1A_meth,0.00014824382
HSD17B1_meth,-0.065959655
NEUROD4_meth,0.199182
ADAMTS1_meth,-0.0015347943
NKX2-8_meth,-0.0007519382
EPO_meth,-0.14247416
PENK_meth,-0.0620847
SPRR1A_meth,-2.0790506e-07
GSTM2_meth,1.03639115e-08
CYP2E1_meth,0.28449234
IFNL4_meth,0.7274727
XPNPEP2_meth,-0.0025882313
SORCS3_meth,0.0002761982
EPB41L4B_meth,-0.24933404
ZBED2_meth,-0.097595245
FOXF1_meth,0.03484473
ROPN1B_meth,-2.4212313e-10
FOXE1_meth,3.001644e-09
SLCO4C1_meth,1.1779721e-06
LHX8_meth,-1.128561e-08
RPRM_meth,0.030990476
PITX1_meth,-0.04153197
BCHE_meth,0.0067433175
ZFP42_meth,7.438279e-08
MTRNR2L6_meth,-0.0025700163
NR0B1_meth,4.9511648e-08
GRIA4_meth,-0.00017912828
ABCC8_meth,0.033622704
F2RL1_meth,0.00035474592
COLEC12_meth,0.034919966
LY75_meth,-2.2697815e-08
TLL1_meth,-0.0022988021
GPR158_meth,-1.561958e-09
S100P_meth,-0.0002499338
LHX4_meth,-1.8610983e-09
SOX11_meth,0.33546418
PCDH11Y_meth,-1.2481215e-07
NEUROD2_meth,0.013690372
NEUROD1_meth,0.12819912
PRKCG_meth,-0.019782066
ISL1_meth,0.03274286
SYCP1_meth,0.016460944
IRX3_meth,6.9937873e-09
MAP1LC3C_meth,0.29161105
DRD4_meth,-0.0135351475
TFAP2A_meth,2.8072774e-08
HAND2_meth,-0.004986925
GALR2_meth,-1.7508577e-09
ZNF385B_meth,5.453567e-10
HOXA3_meth,-6.2377614e-05
HSD17B14_meth,0.0038750547
MC4R_meth,0.0027029994
SLC2A14_meth,-1.4823947e-08
F3_meth,-0.007626625
ADAM7_meth,-0.043640584
MICU3_meth,-1.1836128e-07
INSL6_meth,1.0156745
SLX1A_meth,-8.844001e-06
CALCRL_meth,-0.000396141
DMRTA2_meth,2.0181141e-10
LHX9_meth,1.291955e-08
CBLN1_meth,0.00011725629
HNMT_meth,-0.0067615206
SELL_meth,-2.886817e-07
ZC3H12B_meth,-0.0009987438
KCNB1_meth,-0.0155484425
SECTM1_meth,0.093366355
KLHL1_meth,-2.6946143e-08
NOX4_meth,-0.053803023
LCE3A_meth,9.155547e-08
RDH12_meth,0.039437093
HOXA6_meth,0.0001289099
TFAP2C_meth,1.1526585e-08
WNT6_meth,0.27001062
CALCA_meth,-0.14496589
INSM1_meth,-0.005429072
GRIK3_meth,0.00017426352
TEKT3_meth,1.3676006e-10
KL_meth,-0.47470742
S1PR5_meth,-0.10015303
LYZ_meth,1.4016593e-06
RNF135_meth,-0.015284112
HOXB7_meth,0.023848768
POU3F2_meth,-0.008172076
NR1H2_meth,0.16182645
LBX1_meth,-3.5832458e-05
FZD10_meth,0.03221694
WNT5A_meth,-0.27621803
CLEC4G_meth,0.019618742
RYR3_meth,0.00079839217
APOBEC3C_meth,0.057557326
