,values
GO:0005515,6.68472
GO:0030545,0.2697786
GO:0140096,0.09651522
GO:0016491,0.0630905
GO:1901363,0.034185503
GO:0016787,0.02292789
GO:0038023,0.020861952
GO:0030234,0.0117232865
GO:0022857,0.009332773
GO:0033218,0.006536079
GO:0008289,0.005825345
GO:0043167,0.0016149025
GO:0016740,0.00043925043
GO:0016853,0.00018897379
GO:0042626,9.3278294e-07
GO:0032451,2.1682922e-07
GO:0030674,2.537386e-08
GO:0030246,1.5553143e-09
GO:0090079,0.0
GO:0008094,0.0
GO:0097367,0.0
GO:0140677,0.0
GO:0004601,0.0
GO:0098918,0.0
GO:0004386,0.0
GO:0044877,-6.5241906e-08
GO:0036094,-2.8040816e-07
GO:0016874,-0.00034444846
GO:0042562,-0.00039161777
GO:0140640,-0.0010793718
GO:0140678,-0.0023036227
GO:0016829,-0.0039234576
GO:1901681,-0.006432776
GO:0016247,-0.0070110606
GO:0005319,-0.010993291
GO:0097159,-0.04201977
GO:0140326,-0.042330384
