,values
GO:0005102,6.013872
GO:0008092,0.45189977
GO:0000149,0.27478406
GO:0030546,0.26854956
GO:0051219,0.10689388
GO:0008233,0.08889311
GO:0019955,0.060103774
GO:0017171,0.052129716
GO:0016614,0.049844425
GO:0016903,0.030582296
GO:0016782,0.022924151
GO:0140375,0.020333853
GO:0001098,0.019743992
GO:0019207,0.019603973
GO:0008047,0.018765448
GO:0016229,0.015100877
GO:0004672,0.013315235
GO:0015318,0.00715637
GO:0016627,0.006890178
GO:0005543,0.004643057
GO:0016788,0.0028821107
GO:0016741,0.0023154435
GO:0008276,0.002274327
GO:0019208,0.002220115
GO:0043169,0.0016147905
GO:0016722,0.001278441
GO:1901567,0.0011823395
GO:0001653,0.0010994452
GO:0016701,0.0010532147
GO:0016746,0.0010027083
GO:0015075,0.00092154776
GO:0140328,0.0006385073
GO:0016801,0.00058682106
GO:0016667,0.00053478166
GO:0005342,0.00042102905
GO:0022803,0.00036437
GO:0015932,0.00032621186
GO:0046624,0.00030128268
GO:0016772,0.00029222967
GO:0050839,0.00021565547
GO:1901505,0.0001530026
GO:0015144,0.00011916672
GO:0016860,0.00010294698
GO:0051213,0.00010183249
GO:0015245,7.224367e-05
GO:0015205,6.297652e-05
GO:0120227,6.211059e-05
GO:0016866,4.357554e-05
GO:0016854,4.2457326e-05
GO:0042277,4.1314954e-05
GO:1901618,2.194436e-05
GO:0016885,1.8013743e-05
GO:0016840,1.692218e-05
GO:0061733,9.887875e-06
GO:0016661,7.1114e-06
GO:0042887,5.416331e-06
GO:0120013,2.2409681e-06
GO:0140030,1.7657462e-06
GO:0015248,1.6758519e-06
GO:0031543,1.3094915e-06
GO:0019829,9.3171997e-07
GO:0140097,8.8561717e-07
GO:0016822,6.46616e-07
GO:0016886,2.597275e-07
GO:0043021,1.0664934e-07
GO:0005496,9.0878174e-08
GO:0043168,8.304485e-08
GO:0035591,2.5373875e-08
GO:0070492,1.4623963e-09
GO:1990404,0.0
GO:0015203,0.0
GO:0003707,0.0
GO:1901702,0.0
GO:0022884,0.0
GO:0099103,0.0
GO:0019707,0.0
GO:0043495,0.0
GO:1901375,0.0
GO:0046906,0.0
GO:0070739,0.0
GO:0005326,0.0
GO:0033283,0.0
GO:0030613,0.0
GO:1901474,0.0
GO:0016824,0.0
GO:0016765,0.0
GO:0140658,0.0
GO:0003678,0.0
GO:0001882,0.0
GO:0140103,0.0
GO:0016675,0.0
GO:0019840,0.0
GO:0046992,0.0
GO:0030247,0.0
GO:0016848,0.0
GO:0008135,0.0
GO:0051920,0.0
GO:0016695,0.0
GO:0016730,0.0
GO:0038187,0.0
GO:0009881,0.0
GO:0099186,0.0
GO:0032552,0.0
GO:0097001,0.0
GO:0097363,0.0
GO:0072349,0.0
GO:0042910,0.0
GO:0140359,0.0
GO:0032553,0.0
GO:0008318,0.0
GO:0051002,0.0
GO:0016679,0.0
GO:0015026,0.0
GO:1901265,0.0
GO:0005504,0.0
GO:0051861,0.0
GO:0060589,0.0
GO:0015562,0.0
GO:0090482,0.0
GO:0003755,0.0
GO:0016737,0.0
GO:0033558,0.0
GO:0005275,0.0
GO:0000166,-1.08298134e-10
GO:0015605,-1.5646732e-09
GO:0030594,-3.525125e-09
GO:0019842,-6.0899072e-09
GO:0043177,-1.6218182e-08
GO:0030547,-2.9776823e-08
GO:0043178,-3.574923e-08
GO:0071814,-1.5531035e-07
GO:0016879,-3.8092918e-07
GO:0140457,-6.387293e-07
GO:0019787,-1.9697336e-05
GO:0022804,-2.8200924e-05
GO:0016651,-3.87407e-05
GO:0016875,-6.310825e-05
GO:0010851,-7.973708e-05
GO:0042393,-8.065681e-05
GO:0055106,-9.9924284e-05
GO:0032182,-0.00016595243
GO:1901682,-0.00019552396
GO:0016798,-0.00021087192
GO:0016830,-0.00023440349
GO:0016877,-0.0002992274
GO:0017046,-0.00039162056
GO:0016645,-0.00048504074
GO:0004888,-0.0005747739
GO:0004857,-0.0005789454
GO:0019239,-0.00065143214
GO:0002054,-0.0007014687
GO:0140098,-0.0010802586
GO:0019904,-0.0019953775
GO:0016705,-0.0031853977
GO:0016835,-0.0037796618
GO:0016248,-0.004563984
GO:0099106,-0.004750915
GO:0004721,-0.0052033653
GO:0019838,-0.0062192967
GO:0003676,-0.007130285
GO:0016757,-0.008630707
GO:0004497,-0.0091456
GO:0016810,-0.010176437
GO:0016638,-0.010273413
GO:0005548,-0.011374207
GO:0016769,-0.017419364
GO:0016725,-0.019187877
GO:0016817,-0.023785582
GO:0061134,-0.028096778
GO:0019899,-0.041255563
GO:0140327,-0.042990904
GO:0008134,-0.34673682
