,values
GO:0005125,1.7760087
GO:0005109,0.5723816
GO:0008083,0.49193707
GO:0005149,0.4507756
GO:0005154,0.34081957
GO:0005172,0.3325119
GO:0042056,0.33021086
GO:0043014,0.31267992
GO:0031628,0.2918468
GO:0005179,0.26474714
GO:0031711,0.24093191
GO:0032813,0.21938959
GO:0017075,0.21684381
GO:0031856,0.20681658
GO:0004252,0.20065443
GO:0043425,0.18783306
GO:0031716,0.17332518
GO:0005104,0.16499259
GO:0004190,0.16288874
GO:0032036,0.15378202
GO:0038177,0.14792438
GO:0030116,0.14379504
GO:0005161,0.13827857
GO:0005139,0.13358591
GO:0001223,0.11988016
GO:0031767,0.11589155
GO:0001784,0.10649197
GO:0050750,0.10101634
GO:0051393,0.09793174
GO:0071855,0.08726338
GO:0004745,0.08621718
GO:0035255,0.08388005
GO:0019960,0.081826426
GO:0004714,0.054310888
GO:0030348,0.05325001
GO:0030295,0.05130793
GO:0106256,0.04854862
GO:0102340,0.03515014
GO:0102354,0.031235274
GO:0004675,0.030016003
GO:0050153,0.027241973
GO:0070326,0.025614886
GO:0015020,0.022167785
GO:0004031,0.021994764
GO:0031788,0.021979617
GO:0005119,0.021793732
GO:0050501,0.021450609
GO:0004709,0.019497026
GO:0000993,0.019376023
GO:0102499,0.019035464
GO:0008353,0.018487133
GO:0004683,0.018063165
GO:0008239,0.016697114
GO:0016167,0.01470893
GO:0072518,0.013978382
GO:0030283,0.013620846
GO:0042008,0.013187962
GO:0047298,0.01316376
GO:0008417,0.012524187
GO:0003828,0.012378156
GO:0047685,0.011886622
GO:0005157,0.011786116
GO:0003785,0.011555778
GO:0080030,0.010671502
GO:0003858,0.010503835
GO:0016508,0.009859127
GO:0004027,0.009343788
GO:0102339,0.009097213
GO:0042379,0.009061914
GO:0003865,0.0085148765
GO:0001861,0.0073641124
GO:0003857,0.0069681695
GO:0004519,0.006955133
GO:0016805,0.0064035975
GO:0004030,0.005729384
GO:0038102,0.0055743726
GO:0003835,0.0055560623
GO:0047536,0.0054285065
GO:0070853,0.0052585127
GO:0050479,0.0050790957
GO:0004890,0.004905747
GO:0003690,0.0048991325
GO:0004062,0.004753115
GO:0004921,0.004025876
GO:0089720,0.0034952606
GO:0016175,0.0034025689
GO:0005452,0.0031143122
GO:0047044,0.0030610228
GO:0004368,0.0030486535
GO:0005253,0.003015969
GO:0004300,0.0027986888
GO:0004620,0.0027474836
GO:0052851,0.0026608687
GO:0033038,0.0026240386
GO:0008349,0.0026031132
GO:0004903,0.002529504
GO:0004864,0.002509033
GO:0001758,0.0024679662
GO:1901981,0.0024167227
GO:0061133,0.002329446
GO:0005545,0.002257751
GO:0004657,0.0021897373
GO:0002114,0.0020647848
GO:0003987,0.0019524765
GO:0018024,0.0019359451
GO:0015250,0.0018420856
GO:0003727,0.00180665
GO:0046914,0.0016122751
GO:0004301,0.0013941942
GO:0015111,0.0013845674
GO:0008449,0.0013097068
GO:0045518,0.0013024461
GO:0036042,0.0012441315
GO:0033754,0.0012040578
GO:0008171,0.0011485023
GO:0008170,0.001146735
GO:0005134,0.0010468826
GO:0047023,0.0010257512
GO:0004982,0.0010029951
GO:0047372,0.0009756823
GO:0099038,0.00093976705
GO:0099530,0.0009124028
GO:0004065,0.0008822235
GO:0015108,0.00086669205
GO:0001614,0.00086231687
GO:0051428,0.00084111345
GO:0004962,0.0007949184
GO:0017153,0.0007669291
GO:0004924,0.0007579154
GO:0004623,0.0006942171
GO:0070008,0.00066717924
GO:0001537,0.00065591664
GO:0016929,0.00057008135
GO:0052884,0.00054053334
GO:0036403,0.00053843646
GO:0003725,0.00052613457
GO:0004622,0.00051169103
GO:0008482,0.0005014087
GO:0043956,0.00049130496
GO:0033867,0.00047831913
GO:0070012,0.00047508482
GO:0005415,0.00046048893
GO:0004655,0.00045159715
GO:0005171,0.0004506573
GO:0004423,0.00043315772
GO:0008374,0.0004303704
GO:0022851,0.00041899152
GO:0061631,0.00041193937
GO:0016410,0.0004045747
GO:0120019,0.00039494052
GO:0052885,0.00035387624
GO:0008188,0.00033043738
GO:0098632,0.0003206109
GO:0036130,0.00030621886
GO:0102258,0.00030025525
GO:0004052,0.00029712883
GO:0004950,0.00029483702
GO:0004591,0.0002898828
GO:0005127,0.00028614345
GO:0050218,0.0002839964
GO:0017017,0.00028272092
GO:0102336,0.00028182
GO:0004648,0.0002669035
GO:0001517,0.00026667234
GO:1905030,0.00026204786
GO:0004527,0.0002581515
GO:0140294,0.00025345077
GO:1990259,0.00025307076
GO:0120092,0.0002461117
GO:0022858,0.00022682283
GO:0047747,0.00022584846
GO:0004991,0.00021463193
GO:0015186,0.00020868369
GO:0047975,0.00020587213
GO:0036185,0.00019946761
GO:0004859,0.00019542321
GO:0047408,0.00018257718
GO:0015196,0.00017892431
GO:0036134,0.00017656134
GO:0033878,0.0001747762
GO:0000248,0.00017380017
GO:0047045,0.00017170062
GO:0052599,0.00016657294
GO:0030943,0.00016246704
GO:0102338,0.00016178818
GO:0036002,0.00016147344
GO:0004143,0.00015777291
GO:0047024,0.0001506067
GO:0015190,0.00015007594
GO:0046556,0.00014272946
GO:0016155,0.0001408925
GO:0004058,0.00013960508
GO:0015056,0.0001360914
GO:0047086,0.0001342072
GO:1990948,0.00013382822
GO:0036132,0.00013368168
GO:0004351,0.00012903276
GO:0004359,0.0001285717
GO:0016520,0.00012227058
GO:0050062,0.00011949849
GO:0015189,0.00011180946
GO:0000064,0.000110599205
GO:0047718,0.000106305546
GO:0031769,0.00010547968
GO:0101005,0.000104533225
GO:0050200,0.00010243461
GO:0102991,0.00010237968
GO:0047837,9.9951954e-05
GO:0004165,9.971636e-05
GO:0008139,9.856879e-05
GO:0016505,9.362984e-05
GO:0072555,9.289325e-05
GO:0003867,9.197063e-05
GO:0005412,8.979902e-05
GO:0008081,8.618134e-05
GO:0003951,8.370548e-05
GO:0036505,8.169983e-05
GO:0052596,8.073058e-05
GO:0052901,7.879663e-05
GO:0004514,7.666878e-05
GO:0052904,7.455566e-05
GO:0005000,7.337123e-05
GO:0015552,7.224363e-05
GO:0061656,7.122273e-05
GO:0031700,6.8617264e-05
GO:0008488,6.6245666e-05
GO:0102545,6.4670254e-05
GO:1990698,6.415747e-05
GO:0015389,6.297241e-05
GO:0033040,6.1030718e-05
GO:0004731,5.9849353e-05
GO:0004064,5.924113e-05
GO:0005261,5.3263826e-05
GO:0004951,5.19961e-05
GO:0047757,4.5957317e-05
GO:0004877,4.4769306e-05
GO:0052903,4.241467e-05
GO:0015193,4.050175e-05
GO:0017020,3.8030666e-05
GO:0008378,3.786023e-05
GO:0001091,3.4618104e-05
GO:0003876,3.1741598e-05
GO:0004082,3.1520944e-05
GO:0017168,3.0034833e-05
GO:1990757,3.0008552e-05
GO:0005351,2.8427925e-05
GO:0017159,2.6351217e-05
GO:0008607,2.4471687e-05
GO:0016004,2.4026067e-05
GO:0008597,2.3180557e-05
GO:0015187,2.2336963e-05
GO:0005365,2.1944821e-05
GO:0015211,1.882756e-05
GO:0008970,1.8537346e-05
GO:0047291,1.8268905e-05
GO:0033745,1.8155297e-05
GO:0102769,1.8135835e-05
GO:0004485,1.800951e-05
GO:0102756,1.782049e-05
GO:0030504,1.7416414e-05
GO:0030412,1.6921827e-05
GO:0033743,1.668702e-05
GO:0052902,1.6604903e-05
GO:0030409,1.591176e-05
GO:0004111,1.5788908e-05
